city,states,mpo,trip_per_veh,poolPercent,extraVMTPercent,lon,lat
Alton,IL,EWGCOG,73.26571429,0.167585135,0.273882971,-90.14506472,38.90440442
Carmel,IN,INDYMPO,54.68550593,0.718744302,0.149765739,-86.1458199,39.96572576
Indianapolis,IN,INDYMPO,34.70163096,0.844882882,0.090314205,-86.13847067,39.78170765
Plainfield,IN,INDYMPO,87.02684564,0.520885899,0.253796437,-86.37874316,39.69825876
Anderson,IN,INDYMPO,81.90876882,0.689294011,0.139801019,-85.69028964,40.0895173
Fishers,IN,INDYMPO,65.2014652,0.666084993,0.180234663,-85.95107852,39.95851112
Shelbyville,IN,INDYMPO,119.8589744,0.447824413,0.352638931,-85.77898566,39.5187989
Greenwood,IN,INDYMPO,82.84235669,0.628710428,0.184957053,-86.11976817,39.60880699
Gardner,KS,MARC,58.4169279,0.116009281,0.418397423,-94.92636624,38.80656181
Independence,KS,MARC,50.22345954,0.502948851,0.185863428,-94.34990749,39.08694835
Overland Park,KS,MARC,38.28884166,0.62480132,0.182705093,-94.68297623,38.90866503
Shawnee,KS,MARC,52.33333333,0.362590353,0.253131482,-94.81054838,39.01478473
Lenexa,KS,MARC,49.95070856,0.411320755,0.256500114,-94.80130846,38.95970643
Leavenworth,KS,MARC,56.14372294,0.290672937,0.266418452,-94.92354046,39.32660961
Liberty,KS,MARC,55.59802539,0.254048018,0.286550725,-94.42461048,39.23599647
Kansas City,KS,MARC,35.61016109,0.655546622,0.162773935,-94.60751404,39.11635932
Bonner Springs,KS,MARC,56.72093023,0.101175268,0.50256294,-94.87622724,39.08553927
Olathe,KS,MARC,48.70024773,0.566955476,0.194146566,-94.81826339,38.87709271
Germantown,MD,TPB,85.61717613,0.317053444,0.335212439,-77.25966589,39.17743305
Edgewood,MD,BRTB,66.08673469,0.041260106,0.433345806,-76.30000668,39.4373352
Waldorf,MD,TPB,81.83100559,0.295724318,0.380072648,-76.9176135,38.61059281
Frederick,MD,TPB,84.50084317,0.276276167,0.363533721,-77.41856382,39.42943958
Dundalk,MD,BRTB,55.45703125,0.130380065,0.284292277,-76.50375076,39.27389403
Ellicott City,MD,TPB,85.91511387,0.100453006,0.503283142,-76.83420699,39.27215893
Bel Air South,MD,BRTB,49.70180305,0.146368829,0.340455053,-76.32131476,39.50543821
Bowie,MD,TPB,104.3430851,0.121692136,0.451353711,-76.74566913,38.96168611
Severna Park,MD,BRTB,53.20221607,0.052871814,0.347998162,-76.57070969,39.08998483
Baltimore,MD,BRTB,40.27548828,0.512061935,0.215413224,-76.61605339,39.3084817
Fort Washington,MD,TPB,101.3166667,0.048759124,0.768113461,-77.00326768,38.73817737
Annapolis,MD,BRTB,57.66276347,0.083633094,0.355403526,-76.50732268,38.97191926
Bel Air North,MD,BRTB,49.14067278,0.049482681,0.354403983,-76.37002991,39.55334459
Odenton,MD,BRTB,47.41952507,0.065905449,0.3878892,-76.68599,39.06327745
Glen Burnie,MD,BRTB,51.68553459,0.12112601,0.281668115,-76.60745621,39.15502368
Clinton,MD,TPB,90.28956229,0.115441275,0.424137068,-76.90618218,38.74961569
Eldersburg,MD,BRTB,39.67241379,0.061195104,0.335180391,-76.95391504,39.40519239
Troy,MI,SEMCOG,56.19162173,0.36628047,0.236100366,-83.14575861,42.58174221
Warren,MI,SEMCOG,45.90690589,0.454286788,0.218061259,-83.02701158,42.49343146
Port Huron,MI,SEMCOG,65.35609756,0.182653804,0.271654668,-82.44006169,42.98375743
Novi,MI,SEMCOG,49.97260274,0.362844934,0.284095817,-83.48925824,42.47853114
Livonia,MI,SEMCOG,46.26957224,0.457382232,0.221461309,-83.37331152,42.3971674
Rochester Hills,MI,SEMCOG,49.61003421,0.218952744,0.3067454,-83.15763663,42.66428209
Monroe,MI,SEMCOG,59.11448598,0.100837908,0.418495699,-83.40868494,41.92664579
Detroit,MI,SEMCOG,47.37790448,0.512445818,0.174636971,-83.10616534,42.38481925
Sterling Heights,MI,SEMCOG,54.87165321,0.21579658,0.253298046,-83.03037215,42.58099346
Taylor,MI,SEMCOG,52.04633782,0.209124279,0.289415743,-83.26881495,42.22605995
Ann Arbor,MI,SEMCOG,54.22341966,0.539948384,0.200861257,-83.72902357,42.27502473
Westland,MI,SEMCOG,51.01561391,0.325956756,0.256806807,-83.38055021,42.31923022
Forest Lake,MN,MC,60.20198675,0.080277502,0.430162021,-92.95534128,45.25388882
Apple Valley,MN,MC,80.16106195,0.066565325,0.303652035,-93.20197964,44.74476937
Lakeville,MN,MC,62.68090452,0.127717391,0.327218527,-93.25393722,44.6773902
Hastings,MN,MC,91.1185567,0.001207243,0.416952378,-92.86138636,44.7384046
Coon Rapids,MN,MC,69.07272727,0.104786216,0.313583923,-93.30914804,45.17663112
St. Paul,MN,MC,62.71618822,0.466213429,0.19800101,-93.10349747,44.94789687
Maple Grove,MN,MC,54.56244464,0.221753594,0.313951927,-93.4629048,45.10926156
Woodbury,MN,MC,68.51322751,0.096935408,0.313495327,-92.92015966,44.90171864
Eden Prairie,MN,MC,59.61754134,0.194866264,0.290461793,-93.45948371,44.84903319
Shakopee,MN,MC,70.7,0.079867537,0.323699988,-93.47501785,44.77191124
Stillwater,MN,MC,97.28846154,0.008653326,0.402802222,-92.82988858,45.05632299
Prior Lake,MN,MC,74.25752508,0.038939519,0.505750007,-93.43539672,44.72906168
Chaska,MN,MC,70.58241758,0.0151341,0.502526099,-93.60670606,44.81609483
Minneapolis,MN,MC,55.98415998,0.548545623,0.217707966,-93.26821559,44.9639425
Eagan,MN,MC,63.68652612,0.152640134,0.310383787,-93.16222735,44.81749728
Burnsville,MN,MC,72.15840387,0.09889977,0.272134205,-93.27899357,44.7642451
Festus,MO,EWGCOG,75.7265625,0.019563582,0.438230155,-90.40464796,38.22661433
Wentzville,MO,EWGCOG,79.11940299,0.072150735,0.478708988,-90.85741606,38.79931319
O'Fallon,MO,EWGCOG,70.26728111,0.124360956,0.328815944,-89.90870605,38.60545203
Raymore,MO,MARC,57.09756098,0.194314642,0.468744052,-94.46180905,38.80472446
Oakville,MO,EWGCOG,60.86821705,0.11954993,0.389458347,-90.31811039,38.45007544
Belton,MO,MARC,58.7453271,0.238702202,0.297754383,-94.52676544,38.82040192
Kearney,MO,MARC,67.3038674,0.080432173,0.430169901,-94.36774121,39.36377679
Lee's Summit,MO,MARC,35.09030032,0.513250587,0.186752228,-94.39190545,38.91648813
Grain Valley,MO,MARC,59.18303571,0.213565786,0.385131101,-94.20810236,39.0112721
Blue Springs,MO,MARC,63.81549439,0.306342937,0.228344884,-94.26995278,39.02802129
Grandview,MO,MARC,58.06595745,0.261325447,0.286547548,-94.52268445,38.88017794
St. Charles,MO,EWGCOG,63.20598007,0.318808762,0.257371182,-90.512876,38.78930772
St. Louis,MO,EWGCOG,58.63961426,0.577277986,0.172255343,-90.24507394,38.63578024
Toms River,NJ,NJTPA,37.27965686,0.431859796,0.353104538,-74.17806863,39.9927508
Clifton,NJ,NJTPA,55.6421953,0.419516264,0.33494776,-74.15751453,40.86312174
Paterson,NJ,NJTPA,58.2875,0.590748051,0.250959994,-74.16241812,40.9146875
Elizabeth,NJ,NJTPA,42.71759623,0.620900889,0.30419108,-74.19168022,40.66531908
Bayonne,NJ,NJTPA,62.85515873,0.309359945,0.380215798,-74.10932041,40.66488637
Perth Amboy,NJ,NJTPA,62.66814159,0.395857455,0.385510096,-74.27077601,40.5198205
Princeton,NJ,DVRPC,62.36792453,0.769468705,0.209212315,-74.66932503,40.3562264
Jersey City,NJ,NJTPA,50.47567568,0.620408363,0.231113146,-74.06776142,40.7133039
Sunrise Manor,NV,RTC,59.32749469,0.10751505,0.230787098,-115.0620082,36.17956288
Boulder City,NV,RTC,71.58525346,0.023239918,0.366369397,-114.8323915,35.9843208
Enterprise,NV,RTC,61.96209728,0.254551497,0.217807707,-115.2073164,36.01543823
North Las Vegas,NV,RTC,63.60425647,0.203935654,0.22093319,-115.1388433,36.25739507
Las Vegas,NV,RTC,60.88789972,0.416459023,0.160004956,-115.2418521,36.21807297
Paradise,NV,RTC,60.4500208,0.410979327,0.185131568,-115.1380708,36.0811778
Henderson,NV,RTC,58.37320181,0.329402603,0.17889004,-115.0521695,36.0106294
Spring Valley,NV,RTC,63.79387474,0.171105919,0.209488156,-115.2624236,36.09887828
Newark,NY,NJTPA,44.33944954,0.593789884,0.260304968,-74.17242155,40.72417185
Philadelphia,PA,DVRPC,26.58791916,0.937202851,0.071762133,-75.13417304,40.00765559
Perry,UT,Wasatch,88.62745098,0,0.533774394,-112.0370663,41.46998598
Eagle Mountain,UT,Wasatch,83.30898876,0.035625928,0.40260392,-111.9999004,40.31563944
Santaquin,UT,Wasatch,102.0731707,0,0.617052099,-111.7942007,39.97266769
Spanish Fork,UT,Wasatch,102.8505338,0.070007461,0.332971796,-111.6339505,40.10393908
Ogden,UT,Wasatch,63.52666151,0.367488889,0.223806327,-111.9689484,41.22757934
Springville,UT,Wasatch,90.48473282,0.055504163,0.322379809,-111.6163977,40.16445697
Brigham City,UT,Wasatch,101.6328502,0.024942508,0.337116391,-112.0124407,41.50423908
Lehi,UT,Wasatch,80.25267994,0.189590562,0.263795765,-111.873662,40.40528494
Payson,UT,Wasatch,116.1651376,0.005135521,0.412831936,-111.7314684,40.03519263
Orem,UT,Wasatch,82.10562935,0.295679857,0.235201845,-111.697102,40.29643278
